open_price,high_price,low_price,noof_shares,close_price,predicted_close_price
7770.0,7770.2,7610.0,1662,7648.45,
6403.3,6410.0,6230.1,68098,6256.7,
19940.0,20527.1,19850.0,8650,20439.45,
6196.7,6227.7,6160.0,1608,6176.15,
4825.0,4849.8,4755.15,1127,4785.3,
6716.0,6748.15,6650.0,2228,6684.8,
4800.0,4800.0,4732.0,6512,4757.0,
4645.0,4676.0,4551.35,7970,4603.9,
4670.0,4685.0,4596.0,2657,4600.35,
17500.0,17865.0,17471.0,2925,17804.0,
19800.0,19831.0,19352.2,4899,19458.1,
4960.15,5091.4,4905.2,5105,5044.3,
18325.0,18395.8,18156.0,2620,18298.15,
7800.0,7839.6,7735.0,1373,7747.2,
4474.0,4522.0,4450.05,37780,4477.35,
7085.45,7117.8,7032.3,2508,7057.45,
16879.15,16960.7,16700.0,3261,16758.65,
4478.95,4478.95,4435.0,307,4454.2,
5299.0,5346.7,5210.0,3514,5261.15,
7404.0,7421.75,7350.0,1223,7397.9,
12822.0,12888.0,12634.75,1776,12699.45,
5897.9,5914.6,5851.0,1229,5883.05,
18149.0,18238.1,17800.0,3233,17872.25,
16949.95,16957.05,16678.05,2725,16865.75,
16370.0,16500.0,16136.25,2561,16453.0,
5487.0,5520.0,5400.0,6311,5436.45,
6705.4,6739.2,6490.0,7158,6559.5,
5219.45,5245.25,5104.95,5064,5176.15,
17999.0,17999.0,17300.0,2606,17580.15,
16395.0,16477.6,16214.45,5777,16386.1,
11965.0,11985.55,11787.0,1197,11808.85,
9490.25,9670.05,9467.8,2565,9637.6,
13650.0,13908.4,13600.0,2222,13875.5,
4803.25,4850.0,4785.0,708,4796.0,
4794.2,4811.35,4745.5,2401,4773.5,
7186.55,7372.7,7186.55,2732,7260.1,
6846.5,6889.9,6800.0,1055,6843.2,
6450.0,6535.0,6390.0,1942,6443.5,
6168.95,6243.05,5941.0,2579,5979.55,
4793.4,4793.4,4730.5,942,4751.25,
4539.0,4634.0,4539.0,1417,4597.95,
9740.0,10145.0,9733.4,9033,10122.1,
4570.0,4570.0,4510.0,1838,4542.7,
5230.0,5230.0,5010.25,4082,5056.85,
6870.0,6870.0,6720.0,2728,6772.15,
6743.0,6744.95,6613.0,1390,6679.2,
17295.55,17427.7,17209.05,1232,17376.8,
4780.0,4836.95,4761.0,2885,4828.9,
5660.0,5725.0,5601.25,5000,5703.85,
13000.0,14500.0,13000.0,4192,14431.7,
16190.0,16320.0,16095.0,2580,16111.35,
9893.0,10157.95,9893.0,4051,10073.05,
18005.0,18268.4,17961.55,5524,18022.75,
4630.0,4660.0,4605.0,10043,4649.65,
7897.0,7998.9,7897.0,4113,7950.85,
4402.0,4458.0,4375.05,4778,4386.75,
6992.4,7019.0,6919.0,992,6939.35,
6830.0,6860.0,6736.45,1674,6787.2,
16100.0,16130.0,15840.0,2528,15874.95,
7024.85,7043.95,6933.9,3694,7022.4,
4750.0,4900.0,4660.05,10767,4765.45,
4060.0,4090.0,4031.0,16509,4077.0,
10188.0,10257.1,10002.05,2633,10022.8,
4608.0,4650.0,4510.0,2292,4589.6,
7696.45,7720.0,7670.0,1156,7689.15,
16398.0,16600.05,16250.5,4096,16568.3,
5100.0,5187.9,5100.0,2360,5161.6,
4930.0,4984.05,4921.15,1385,4969.95,
7666.0,7822.9,7666.0,2075,7721.3,
16675.0,16675.0,16321.0,3039,16348.5,
17510.0,17740.95,17421.0,1861,17692.7,
17270.0,17370.0,16868.45,6841,17315.2,
6733.75,6750.0,6640.0,30074,6700.95,
10100.0,10200.05,10063.85,1661,10150.8,
18198.6,18245.95,17986.75,918,18175.55,
7704.0,7729.0,7634.4,1751,7692.35,
18242.0,18339.95,18002.0,3199,18295.45,
17560.0,17590.0,17344.7,2114,17547.65,
16530.0,16604.05,16346.65,4432,16517.5,
19403.55,19560.0,19371.2,1126,19462.25,
5825.0,5825.0,5662.4,4638,5680.7,
18950.0,19009.95,18611.0,3363,18692.0,
11395.0,11520.8,11300.0,4940,11335.0,
